target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2149890208977573, gt_vfs_stl: 0.26957754881266355,                             state_vfs_stl: -4.794524636261961,                             num_nodes: 32598,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15323734854958512, gt_vfs_stl: 0.24062400845366005,                             state_vfs_stl: 0.12637522689699804,                             num_nodes: 29051,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16290624495433662, gt_vfs_stl: 0.27217058811578876,                             state_vfs_stl: 0.1218988634530253,                             num_nodes: 31249,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1551952948149508, gt_vfs_stl: 0.23842289770766303,                             state_vfs_stl: 0.1267994468200242,                             num_nodes: 28320,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1602383951496381, gt_vfs_stl: 0.2179643331229205,                             state_vfs_stl: 0.11984689444284637,                             num_nodes: 31254,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16177831053625547, gt_vfs_stl: 0.3155651887343123,                             state_vfs_stl: 0.11943114980719198,                             num_nodes: 31260,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15301628419254537, gt_vfs_stl: 0.23297706107856814,                             state_vfs_stl: 0.11370077611673393,                             num_nodes: 29020,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2109357753294811, gt_vfs_stl: 0.29876121720334065,                             state_vfs_stl: -4.443552748611841,                             num_nodes: 30547,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.163159614008841, gt_vfs_stl: 0.2817524399255581,                             state_vfs_stl: 0.11758207595719679,                             num_nodes: 31244,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1392168185660081, gt_vfs_stl: 0.18196898494196986,                             state_vfs_stl: 0.10090790423144494,                             num_nodes: 31131,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21403119116171607, gt_vfs_stl: 0.24866569554545528,                             state_vfs_stl: -3.3560434252880498,                             num_nodes: 32623,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16268903621142028, gt_vfs_stl: 0.2714950534124368,                             state_vfs_stl: 0.11591115046149039,                             num_nodes: 31189,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16250022498649921, gt_vfs_stl: 0.2492195013313226,                             state_vfs_stl: 0.12225923134696981,                             num_nodes: 31278,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2082910167597349, gt_vfs_stl: 0.2597062782069507,                             state_vfs_stl: -8.771187603652264,                             num_nodes: 30605,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20805355767940592, gt_vfs_stl: -0.3675202370263907,                             state_vfs_stl: -4.9002195294097985,                             num_nodes: 30691,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
