target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2140146090870695, gt_vfs_stl: 0.25441758818609134,                             state_vfs_stl: -0.9611453812748191,                             num_nodes: 38524,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2153002204281059, gt_vfs_stl: 0.23834875433743938,                             state_vfs_stl: -5.551085508532816,                             num_nodes: 37166,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21138258982427213, gt_vfs_stl: 0.26756043360526327,                             state_vfs_stl: -0.8910460709138012,                             num_nodes: 37700,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21550851698145063, gt_vfs_stl: 0.2379173868669212,                             state_vfs_stl: -0.7401532389629598,                             num_nodes: 32137,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1556983192538807, gt_vfs_stl: 0.24444542138110278,                             state_vfs_stl: 0.126373538754102,                             num_nodes: 34267,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2153539425985988, gt_vfs_stl: 0.22933252778397006,                             state_vfs_stl: -0.6724570593413591,                             num_nodes: 34154,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20925477295944586, gt_vfs_stl: 0.26000308984588766,                             state_vfs_stl: -2.3344535308101304,                             num_nodes: 33827,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15293628340731547, gt_vfs_stl: 0.23595805496281624,                             state_vfs_stl: 0.1267245132226059,                             num_nodes: 36192,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15404859526093098, gt_vfs_stl: 0.2571762140060482,                             state_vfs_stl: 0.11188555548508557,                             num_nodes: 35439,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20956441870692705, gt_vfs_stl: 0.2571603850571094,                             state_vfs_stl: -7.772608853548967,                             num_nodes: 34473,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16854778690948932, gt_vfs_stl: 0.26040263827986043,                             state_vfs_stl: 0.10635924148480229,                             num_nodes: 32212,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.154089022698923, gt_vfs_stl: 0.2385822339972724,                             state_vfs_stl: 0.11784289439536166,                             num_nodes: 38501,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16401287653332278, gt_vfs_stl: 0.1888702320405429,                             state_vfs_stl: 0.11871950536674725,                             num_nodes: 38970,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21018667748900025, gt_vfs_stl: 0.22633520480736116,                             state_vfs_stl: -3.725691295111345,                             num_nodes: 37161,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16403675491770758, gt_vfs_stl: 0.23988599777330627,                             state_vfs_stl: 0.08437149351289072,                             num_nodes: 32887,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21957871987584204, gt_vfs_stl: 0.23158305469201168,                             state_vfs_stl: -6.084823083845476,                             num_nodes: 37848,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20932740203139516, gt_vfs_stl: 0.3014023798847584,                             state_vfs_stl: -5.653737209321585,                             num_nodes: 35952,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1536359780332024, gt_vfs_stl: 0.23344375556112204,                             state_vfs_stl: 0.12196153715523891,                             num_nodes: 38470,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15329671325051886, gt_vfs_stl: 0.24936401124576502,                             state_vfs_stl: 0.12373224695339506,                             num_nodes: 37034,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2086522330260406, gt_vfs_stl: 0.22990131216204593,                             state_vfs_stl: -1.6199374388492447,                             num_nodes: 35226,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15505141420371824, gt_vfs_stl: 0.23769983287475782,                             state_vfs_stl: 0.12429951440624062,                             num_nodes: 39578,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21011705534091474, gt_vfs_stl: 0.3166825327654205,                             state_vfs_stl: -0.07725088000977595,                             num_nodes: 37565,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1548801945783972, gt_vfs_stl: 0.249901247485466,                             state_vfs_stl: 0.12547734280189132,                             num_nodes: 37217,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1530559597226623, gt_vfs_stl: 0.24840580720217656,                             state_vfs_stl: 0.10763646804851708,                             num_nodes: 34091,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21061803938537935, gt_vfs_stl: 0.32699240367402604,                             state_vfs_stl: -3.9295608757983795,                             num_nodes: 39244,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21048171450674075, gt_vfs_stl: 0.3231491529660267,                             state_vfs_stl: -1.516202961441187,                             num_nodes: 39657,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20943785232815285, gt_vfs_stl: 0.26682714691223697,                             state_vfs_stl: -0.39086230555606294,                             num_nodes: 39218,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16594056672093532, gt_vfs_stl: 0.21628422212894374,                             state_vfs_stl: 0.11407587659588053,                             num_nodes: 37838,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2097131105511954, gt_vfs_stl: 0.3410393782692388,                             state_vfs_stl: -4.403231090546793,                             num_nodes: 33324,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16715043996685033, gt_vfs_stl: 0.26674330509671706,                             state_vfs_stl: 0.11175524965804957,                             num_nodes: 36454,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15237856855651455, gt_vfs_stl: -0.31560459802586427,                             state_vfs_stl: -6.974744535777283,                             num_nodes: 38616,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1536576777687397, gt_vfs_stl: 0.20027602630646552,                             state_vfs_stl: 0.11104326832195228,                             num_nodes: 38902,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.210130787463563, gt_vfs_stl: 0.28313005683186726,                             state_vfs_stl: -1.826942832169902,                             num_nodes: 30896,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
